id,display_name_en,description_text_en,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_url,image_thumbnail_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_license,image_rights_source_name,image_rights_source_url,status,last modified,original file URL,AATID,EFTID
CC00192,mid-thigh length,,,,,,,,,,,,,,incomplete,,,,
CC00226,mohair,"Long, lustrous hair of the Angora goat, valued for its strength and excellent spinning qualities.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,https://dressdiscover.org/img/worksheet/full_size/Ull_mohair.jpg,https://dressdiscover.org/img/worksheet/thumbnail/Ull_mohair.jpg,full_size/Ull_mohair.jpg,thumbnail/Ull_mohair.jpg,"Wikipedia User AnnaKika from Gothenburg, Sweden",Creative Commons Attribution 2.0 Generic,Wikipedia,https://commons.wikimedia.org/wiki/File:Ull_mohair.jpg,new,43472,https://upload.wikimedia.org/wikipedia/commons/a/a0/Ull_mohair.jpg,300192989,
CC00227,moire,"Patterns having a watered or rippled look. Where this produces an illusion of movement, use moiré effect. (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=moire&logic=AND&note=&english=N&prev_page=1&subjectid=300010241,https://dressdiscover.org/img/worksheet/full_size/Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg,https://dressdiscover.org/img/worksheet/thumbnail/Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg,full_size/Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg,thumbnail/Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg,ModeMuseum,Creative Commons Attribution-Share Alike 4.0 Internationa,Wikipedia,https://commons.wikimedia.org/wiki/File:Woven_Fabric_(ST204)_-_MoMu_Antwerp_(detail).jpg,new,43472,https://upload.wikimedia.org/wikipedia/commons/6/6f/Woven_Fabric_%28ST204%29_-_MoMu_Antwerp_%28detail%29.jpg,300400593,
CC00062,multicolor,,,,,,,,,,,,,,incomplete,,,,
CC00038,Napoleon,,,,,,,,,,,,,,incomplete,,,,
CC00160,natural fiber,,,,,,,,,,,,,,incomplete,,,,
CC00228,natural waistline,,,,,,,,,,,,,,incomplete,,,,
CC00063,navy blue,"Range of deep grayish blues, originally named for the color of the British naval uniform.",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300311067,
CC00090,needle work,,,,,,,,,,,,,,incomplete,,,,
CC00091,needlepoint,Refers to works created with a needle and thread on fabric or a mesh of canvas. The works are characterized by designs that are executed by using the grid of the fabric to count out the desired position of various stitches or colors in the design.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300264031,
CC00229,net,"Refers to an open weave textile made of thread, twine, yarn, or cord, usually of silk, cotton, nylon, or rayon, with fine to coarse meshes of fixed dimension. It is characterized by being a simple mesh joined by knots; it may be made by hand or by machine. It may be used to make various items from veils and trimming on clothing to tennis nets and fishing nets. Fine net that is used in lace, headwear, and other apparel is often referred to as netting rather than as net. For the objects consisting of meshed arrangements of threads, cords, or ropes that have been twisted, knotted, or woven together at regular intervals, use nets (objects). (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=net&logic=AND&note=&english=N&prev_page=1&subjectid=300249438,,,,,,,,,incomplete,,,300249438,
CC00161,no waistline,,,,,,,,,,,,,,incomplete,,,,
CC00230,nylon,Any of a variety of thermoplastic polymers originally developed as textile fibers and used in fabrics. They have a straight-chain polyamide structure and are largely heat-resistant.,The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/vow/AATFullDisplay?find=nylon&logic=AND&note=&english=N&prev_page=1&subjectid=300014462,,,,,,,,,incomplete,,,300014462,
CC00021,off the shoulder,,,,,,,,,,,,,,incomplete,,,,
CC00064,orange,"Hue name for the color representing that portion of the spectrum that is intermediate between red and yellow, with wavelengths between 585 and 620 nanometers. The term may refer to any of this group of colors that vary in lightness and saturation. An example of orange color in nature is that of the citrus fruit orange, for which the color is named in modern English. It is a secondary pigment color (made by combining yellow and red). (AAT)",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,https://dressdiscover.org/img/worksheet/full_size/Color_icon_orange.jpg,https://dressdiscover.org/img/worksheet/thumbnail/Color_icon_orange.jpg,full_size/Color_icon_orange.jpg,thumbnail/Color_icon_orange.jpg,Wikimedia user Booyabazooka,Public domain,Wikipedia,https://commons.wikimedia.org/wiki/File:Color_icon_orange.png,new,43470,https://upload.wikimedia.org/wikipedia/commons/2/25/Color_icon_orange.png,300126734,
CC00092,painting,"The art and practice of applying pigments suspended in water, oil, egg yolk, molten wax, or other liquid to a surface to create an expressive or communicative image. Paint is usually, but not always, applied with a brush. For the application of paint primarily to protect a surface or add a general color, use ""painting (coating).""",The J. Paul Getty Trust,Open Data Commons Attribution License,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,,incomplete,,,300054216,
CC00039,peaked lapel,,,,,,,,,,,,,,incomplete,,,,
CC00174,peg-top,,,,,,,,,,,,,,incomplete,,,,
CC00175,pegged,,,,,,,,,,,,,,incomplete,,,,
