Feature name,Feature value,Credit line,License,Thumbnail URL,Full-size image URL,Metadata URL
Structure Pants,Bermuda,Australian War Memorial ,Public domain,https://upload.wikimedia.org/wikipedia/commons/e/e3/Brooke-Popham_%26_Wavell.jpg,,https://commons.wikimedia.org/wiki/File:Brooke-Popham_%26_Wavell.jpg
Structure Pants,Jamaica,,,,,
Structure Pants,ankle,,,,,
Structure Pants,briefs,,,,,
Structure Pants,capri,,,,,
Structure Pants,flared,,,,,
Structure Pants,harem,,,,,
Structure Pants,knickers,,,,,
Structure Pants,palazzo,,,,,
Structure Pants,pedal-pusher,Wikipedia user Beyond My Ken,CC BY-SA 4.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Pedal_pushers_in_SoHo.jpg/277px-Pedal_pushers_in_SoHo.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a7/Pedal_pushers_in_SoHo.jpg,https://commons.wikimedia.org/wiki/File:Pedal_pushers_in_SoHo.jpg
Structure Pants,short-shorts / hot pants,,,,,
Structure Pants,shorts,,,,,
Structure Pants,toreador,,,,,
,,,,,,
Structure Skirt,a-line,,,,,
Structure Skirt,accordion pleated,,,,,
Structure Skirt,balloon,,,,,
Structure Skirt,box-pleated,,,,,
Structure Skirt,bustle,,,,,
Structure Skirt,circular,,,,,
Structure Skirt,crinoline,,,,,
Structure Skirt,dirndl,,,,,
Structure Skirt,flared,,,,,
Structure Skirt,flounced,,,,,
Structure Skirt,gathered,,,,,
Structure Skirt,handkerchief,,,,,
Structure Skirt,layered,,,,,
Structure Skirt,no seam at center back,,,,,
Structure Skirt,peg-top,,,,,
Structure Skirt,pegged/tapered,,,,,
Structure Skirt,peplum,,,,,
Structure Skirt,prairie,,,,,
Structure Skirt,sarong,,,,,
Structure Skirt,seam at center back,,,,,
Structure Skirt,straight,,,,,
Structure Skirt,swagged,,,,,
Structure Skirt,tiered,,,,,
Structure Skirt,trumpet,,,,,
Structure Skirt,yoked,,,,,
,,,,,,
Structure Sleeve Length,camisole straps,,,,,
Structure Sleeve Length,cap,,,,,
Structure Sleeve Length,elbow,,,,,
Structure Sleeve Length,extra long,,,,,
Structure Sleeve Length,hanging,,,,,
Structure Sleeve Length,long,,,,,
Structure Sleeve Length,short,,,,,
Structure Sleeve Length,strapless,,,,,
Structure Sleeve Length,tank,,,,,
Structure Sleeve Length,three-quarter,,,,,
,,,,,,
Structure Sleeves,2-piece tailored,,,,,
Structure Sleeves,Juliet,,,,,
