display_name_en,id,description_text_en,description_rights_author,description_rights_statement,description_rights_license,description_rights_source_name,description_rights_source_url,image_full_size_rel_path,image_thumbnail_rel_path,image_rights_author,image_rights_statement (from images),image_rights_license,image_rights_source_name,image_rights_source_url,status,last_modified,original_file_URL,AATID,EFTID,WikidataID,features,URI
lace making,CC00087,"Refers to the process of creating lace, which is a textile work made of thread, comprising a ground of netting with patterns worked in or embroidered on the mesh.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,edited,2020-10-03,,300053651,,Q43065851,hasTechnique,http://vocab.getty.edu/aat/300053651
machine sewing,CC00088,"Sewing by machine, as distinct from sewing by hand.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300257463,,,hasTechnique,http://vocab.getty.edu/aat/300257463
mercerizing,CC00089,"Treatment of cotton yarn or fabric by immersion in a caustic solution of sodium hydroxide or other chemical base. Fibers so treated swell permanently, and the cotton is made stronger and more lustrous. Named after Alexander Mercer (1791-1866), who perfected the process.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300379924,10943,,hasTechnique,http://vocab.getty.edu/aat/300379924
needleworking,CC00090,,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300053652,,,hasTechnique,http://vocab.getty.edu/aat/300053652
painting,CC00092,"The art and practice of applying pigments suspended in water, oil, egg yolk, molten wax, or other liquid to a surface to create an expressive or communicative image. Paint is usually, but not always, applied with a brush. For the application of paint primarily to protect a surface or add a general color, use ""painting (coating).""",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300054216,10304,,hasTechnique,http://vocab.getty.edu/aat/300054216
piecing,CC00093,Joining small pieces of cloth together with a seam to form an overall pattern.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300231250,,,hasTechnique,http://vocab.getty.edu/aat/300231250
piping,CC00094,"Tubular strip of textile, usually bias-cut, which may or may not enclose a cord, used for trimming the edges and seams of costume, coverings, and hangings. May be of matching or contrasting fabric, sometimes also in leather.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300232162,,,hasTechnique,http://vocab.getty.edu/aat/300232162
pleating,CC00095,"Double folding a definite, even width of fabric and fixing it in place by sewing or pressing or both.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00095.jpg,thumbnail/CC00095.jpg,Wikipedia User JFPerry~commonswiki,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by-sa/2.5/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Kilt_pleats_001.jpg,new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/3/3b/Kilt_pleats_001.jpg,300227874,10713,,hasTechnique,http://vocab.getty.edu/aat/300227874
polishing,CC00096,Process of rubbing a surface to make it smooth or shiny.,The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300053867,,,hasTechnique,http://vocab.getty.edu/aat/300053867
printing,CC00097,"Various means of reproducing identical copies of graphic matter in a fixed form. Processes by which an image, pictorial or textual, is transferred, usually to paper or cloth, most often by means of a plate, block, stone, or screen. Use also for the making of photographic prints and, with computers, for the production of a paper copy of stored data. For the production of prints in a fine arts context, prefer ""printmaking.""",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300053319,,,hasTechnique,http://vocab.getty.edu/aat/300053319
quilting,CC00098,"Stitching together two or more layers of cloth, usually working the stitches into designs.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00098.jpg,thumbnail/CC00098.jpg,Mennonite Church USA Archives,https://rightsstatements.org/vocab/NKC/1.0/,https://rightsstatements.org/vocab/NKC/1.0/,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Caption-_March_1,_1962._(6942858820).jpg",new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/9/92/Caption-_March_1%2C_1962._%286942858820%29.jpg,300053656,10945,,hasTechnique,http://vocab.getty.edu/aat/300053656
smocking,CC00100,"Refers to the process applied to a garment or other piece of fabric, comprising gathering tucks and working the tucks with a simple or decorative stitch.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300264622,,,hasTechnique,http://vocab.getty.edu/aat/300264622
weaving,CC00101,"Generally, the process of interlacing strands or strips of various materials, such as cane, textile, or twigs, to make materials or objects such as wicker, cloth, baskets, or wreaths. Specifically used for the process of making textile on a loom or other weaving device by interlacing warp and weft in a particular order.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300053642,,,hasTechnique,http://vocab.getty.edu/aat/300053642
a-line skirt,CC00102,"a skirt with a slight flare, roughly in the shape of a capital letter A",Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://en.wikipedia.org/wiki/Skirt,full_size/CC00102.jpg,thumbnail/CC00102.jpg,Flickr user queen puff puff,https://rightsstatements.org/vocab/InC/1.0/,https://creativecommons.org/licenses/by/2.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A-line_skirt.jpg,accepted,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/9/90/A-line_skirt.jpg,,,Q277835,skirtType,http://www.wikidata.org/entity/Q277835
bias-cut,CC00103,,,,,,,,,,,,,,edited,2020-10-03,,,,,hasTechnique,https://w3id.org/costumeCore/ontology/CC00103
coat,CC00106,"Main garments usually fitted to the upper body, extending below the hip line, open at the front or side and generally having sleeves. Also, similar outer garments worn for warmth or protection from the weather.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300046143,10042,,workType,http://vocab.getty.edu/aat/300046143
drop-waist,CC00108,,,,,,,,,,,,,,accepted,2020-10-03,,,,,dressType,https://w3id.org/costumeCore/ontology/CC00108
Empire silhouette,CC00109,woman's dress style with a high waist and narrow skirt,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,,,,,,,,edited,2020-10-03,,,,Q3603737,dressType,http://www.wikidata.org/entity/Q3603737
fit and flare,CC00110,,,,,,,,,,,,,,accepted,2020-10-03,,,,,dressType,https://w3id.org/costumeCore/ontology/CC00110
jumper,CC00112,"Sleeveless dresses or skirts with straps and a partial or full bodice, usually worn over a shirt or blouse by women and children.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300046164,10234,,dressType,http://vocab.getty.edu/aat/300046164
pinafore,CC00114,"Sleeveless apronlike garments which have a skirt and a bodice portion and which cover the front, sides, and a portion of the back. Worn over main garments for protection or ornamentation.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,full_size/CC00114.jpg,thumbnail/CC00114.jpg,"Lillybridge, Charles S., 1849-1935",https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Child_and_Doll.jpg,new,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/c/cd/Child_and_Doll.jpg,300046186,10998,Q3247116,dressType,http://vocab.getty.edu/aat/300046186
princess seams,CC00116,Long rounded seams sewn into women's blouses or shirts to add shaping or a tailored fit to closely follow a woman's shape,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,,,,,,,,accepted,2020-10-03,,,,Q2569037,hasTechnique,http://www.wikidata.org/entity/Q2569037
round neck,CC00119,Curved neckline fitting close to the base of the neck.,Wikidata contributors,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/mark/1.0/,Wikidata,https://www.wikidata.org/wiki/Wikidata:Data_access/en,full_size/CC00119.jpg,thumbnail/CC00119.jpg,David Ring,https://creativecommons.org/publicdomain/mark/1.0/,https://creativecommons.org/publicdomain/zero/1.0/,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Round_neck.jpg,uploaded,2020-10-11,https://upload.wikimedia.org/wikipedia/commons/3/32/Round_neck.jpg,,10872,Q29583217,neckline,http://www.wikidata.org/entity/Q29583217
sheath dress,CC00121,"Close-fitting dresses with a tight, straight skirt.",The J. Paul Getty Trust,https://rightsstatements.org/vocab/InC/1.0/,https://opendatacommons.org/licenses/by/1-0/,Art and Architecture Thesaurus (AAT),http://www.getty.edu/research/tools/vocabularies/aat/,,,,,,,,accepted,2020-10-03,,300211788,10823,,dressType,http://vocab.getty.edu/aat/300211788
